Date,Company,Category,Aircraft,Location,Description
4/8/2015,Cherokee UAS LLC,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation, Emergency Services",Altavian Nova F6500 Block III,New Mexico,"Aerial surveys and inspections for public agencies, such as Federal (BLM and USDA/UPHIS) and State agencies, requesting compliance inspection services, wildlife management support, wildfire fighting support, SAR and specific and occasional law enforcement support services. Private pipeline and power transmission companies and petroleum/gas producers are asking for data in order to improve their maintenance programs, environmental compliance, and installation security."
2/13/2015,"Chevron UAS, Inc.",Utilities/Energy/Infrastructure,Skycatch,California,Aerial imaging for safety and monitoring of controlled access oil and gas facilities.
5/5/2015,Christopher Gardner,Photo/Film,DJI Inspire 1,Florida,"Aerial photography, inspection, videography and cinematography."
5/14/2015,Christopher James Scherr,"Photo/Film, Real Estate",DJI Phantom 2,Missouri,Videography and photography for real estate and to enhance community academic awareness.
5/28/2015,Christopher Ryan Welsh,Photo/Film,Yuncee Q500 Typhoon and Blade 350 QX3.,New York,Aerial videography and photography
4/8/2015,"Chustz Surveying, Inc.","Utilities/Energy/Infrastructure, Agriculture",SenseFly eBee,Louisiana,Aerial mapping and surveying applications.
4/3/2015,"CineDrones, LLC",Photo/Film,"DJI S900, DJI S1000, DJI Inspire 1",Florida,Aerial photography.
6/9/2015,CinemaCapture Videography,"Photo/Film, Real Estate","DJI Phantom 2, DJI Inspire 1",Pennsylvania,"Aerial video and photography for wedding videography, real estate photography, special events, film sets, and landscape over certain areas of the United States."
4/21/2015,Cirrus Exploration Company,"Education, Utilities/Energy/Infrastructure","DJI Phantom 2 Vision+, DJI Inspire 1",Texas,"Flight instruction, commercial aerial work flight operations, student instruction, aerial photography and survey, and power line or pipeline patrol."
6/5/2015,City of McAllen,Photo/Film,DJI Phantom 2 Vision+,Texas,"Aerial inspections and surveys, photography, and videography operations."
12/10/2014,Clayco,Construction,Skycatch Unmanned Aircraft System,Illinois,"Aerial imaging, construction."
5/11/2015,"Clean Energy Renewables, LLC",Utilities/Energy/Infrastructure,Aibot X6 V2. ,Illinois,Aerial inspection of renewable wind power turbines.
4/9/2015,Climate Corp Precision Planting LLC,Agriculture,DJI Phantom 2,Illinois,"Research and development, agricultural modeling, simulations, and imaging."
6/8/2015,Cloud9Drones,"Utilities/Energy/Infrastructure, Photo/Film","C9D-BD (Butterfly Dragon), DJI‐S1000+, DJI Inspire 1, DJI Phantom 3, 3DR Solo, 3DR Iris+",Texas,"Aerial inspections of towers/tallstructures for multiple industries, and videography for film and marketing. (Amended 6/23/15)"
5/5/2015,Cobblestone Realty LLC,Real Estate, DJI Phantom 2,Indiana,Aerial videography and cinematography.
6/9/2015,"Coffee House Industries, LLC",Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",California,"Closed set filming of motion pictures, music videos, web videos, corporate videos, television programs and commercials and still photography."
6/16/2015,Coleman Engineering Company,Utilities/Energy/Infrastructure,DJI Phantom 2,Michigan,"Aerial photography, videography, and inspections."
4/9/2015,Colin Hinkle,Photo/Film," DJI Inspire 1, DJI Phantom 2 Vision, DJI Phantom 3",Illinois,Aerial photography. (Amended 6/3/15)
4/21/2015,"Colorado Cartographics, LLC",Utilities/Energy/Infrastructure,"DJI F550 Flamewheel, Tarot T810",Colorado,"Geospatial, surveying, and geosciences services for industries for regulatory compliance, public safety, and asset management."
5/5/2015,Come and Take it Photography,"Real Estate, Education",DJI Phantom 2 Vision,Texas,Academic community awareness and real estate operations.
2/24/2015,Commonwealth Edison Company,Utilities/Energy/Infrastructure,DJI S900,Illinois,"Electric transmission and distribution utility system monitoring, powerline inspections, and damage assessments."
6/18/2015,"Compass Light, Inc",Photo/Film,"Cinestar X-8 HL, DJI Inspire 1, DJI Phantom 2, DJI Phantom 3",Florida,Aerial photography for the motion picture and television industry for scripted closed set filming.
4/24/2015,"CompassData, Inc",Utilities/Energy/Infrastructure,Trimble UX5,Colorado,"Aerial photography for use in mapping and land surveying applications. Capturing still digital images that are used to produce precision digital map products including; point clouds, triangulated models, and contour maps of the surveyed area. Applications include agriculture, mining, professional surveying, environmental monitoring, oil & gas exploration and other similar activities."
4/21/2015,Consumers Energy Company,Utilities/Energy/Infrastructure,DJI S-1000,Michigan,"Research and development for public and worker safety; power restoration following storms; and new methods to effectively inspect power lines, electrical facilities, and vegetation, and rights of way."
4/21/2015,Contend Corporation,Photo/Film,DJI Spreading Wings S900,--,"Closed set motion picture filming, cinematography, and videography."
6/8/2015,Copper City Aviation Services LLC,Real Estate,"DJI Phantom Vision 2, DJI Inspire 1",Arizona,"Commercial aerial photography and videography of individual commercial, public, and residential properties and structures."
6/23/2015,Corvus Eye Productions LLC,"Photo/Film, Real Estate, Emergency Services","DJI Phantom Vision 2, Foxtech K130",Washington,"Aerial imaging cinematography for film commercial productions, real estate, monitoring of secured and controlled environments, and search and rescue."
5/21/2015,Cox Photography,"Utilities/Energy/Infrastructure, Real Estate",DJI Inspire 1,Illinois,Aerial photography and videography over coal mine stockpiles and residential property.
4/21/2015,Craig Byrom,"Photo/Film, Emergency Services",DJI S-1000,Texas,"Mapping of farm and ranch land for property owners to better understand their land and what areas need more attention. Services to law enforcement in small towns for search and rescue, given that typically they do not have the budget to own or have a UAS on hand to do search and rescue."
6/8/2015,Crosstimbers Video Partners LLC,Real Estate,DJI Phantom 2,Texas,"Real estate photography, videography, and aerial surveying for other commercial industries."
6/2/2015,"D&C Inspection Services, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision, DJI Phantom 2 Vision +, Steadydrone QU4D, DJI S1000, DJI Inspire 1, DJI Flamewheel F550",Texas,"Inspections of industrial complexes, transportation facilities, and other structural entities."
4/27/2015,Daniel W. Achatz,Photo/Film,DJI Phantom 2,Washington,"Aerial photography using a light, unmanned aerial vehicle for homeowners and real estate brokers seeking to provide aerial images of homes being listed for sale in the Seattle metropolitan area."
4/3/2015,Danis Building Construction Company,Construction,DJI Phantom Vision 2+,Ohio,Aerial inspections on construction sites.
4/3/2015,Darling Geomatics,"Utilities/Energy/Infrastructure, Agriculture",SenseFly eBee,Arizona,Mapping and surveying for 3D modeling.
6/26/2015,Darryl W Lee Sr,"Construction, Real Estate, Photo/Video","DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1, 3D Robotics Solo",Texas,"Aerial video and photography of construction sites, real estate and private property, events, and landscape over certain areas of the United States."
5/19/2015,"DARTdrones, LLC","Education, Emergency Services","DJI Phantom, DJI Phantom 2 Vision, DJI Phantom 2 Vision+",Pennsylvania,Training for recreational users and emergency services entities to use unmanned aerial vehicles.
4/22/2015,"Dave Marshall ‰ÛÒ Elk Ridge Ranch, LLC",Photo/Film,Phantom 2 Vision Plus,Indiana,Aerial videography and cinematography to enhance local tourism in the southern Indiana region
6/25/2015,Dave Woll,Real Estate,"DJI Phantom Vision+, DJI Phantom 3",Illinois,Aerial videography and photography of privately owned real estate.
5/29/2015,David Donald Halpin,"Construction, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1",Florida,"Aerial video and photography of construction sites, real estate, and landscape over certain areas of the United States."
5/28/2015,David Garith Grinnell,"Real Estate, Construction",DJI Phantom 2 Vision+ and DJI Inspire 1,Kentucky,"Aerial videography and photography of construction sites, real estate, and landscaping."
4/17/2015,David Ho,Real Estate,DJI Phantom 2 Vision+,Illinois,Aerial cinematography in video or still format to enhance real estate listings.
5/22/2015,David Smith,Photo/Film,"DJI Inspire 1, DJI Vision+",Pennsylvania,"Aerial photography, videography, and inspections."
4/9/2015,DeGrazia Music LLC,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire",Arizona,"Aerial cinematography and photography at controlled locations for use in motion picture, television, and music industries."
6/23/2015,Deland Drones,"Real Estate, Construction","Turnigy Talon 500, Tarot 680Pro",Florida,"Aerial video and photography of construction sites, real estate, events, and landscape."
5/21/2015,Dennis M Fisher,Real Estate,DJI Phantom 2 Vision+,Ohio,"Aerial photography, videography, and cinematography to enhance community awareness and to augment real estate videos"
6/23/2015,Desert West Land Surveys,"Utilities/Energy/Infrastructure, Construction",SenseFly eBee,Idaho,Precision land surveying applications.
6/23/2015,"DigiNovations, Inc","Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire 1",Massachusetts,"Aerial video and photography of construction sites, real estate, special events, film sets, and landscapes."
6/9/2015,Digitals By Ronnie,"Photo/Film, Real Estate, Education",Yuneec Q500 Typhoon,Colorado,"Aerial photography and/or video for real estate, architecture, land surveying, engineering and other related professional activities; aerial video and/or photography for television, public events, cinematography and newsgathering; aerial inspection/photography of residential/commercial structures; residential/commercial utility infrastructure; aerial video/photography to assist with search and rescue operations; and training for UAS operations."
6/25/2015,Discovery Management Group LLC,Photo/Film,DJI Phantom 2,Oregon,"Aerial mapping, photography, filmmaking, and photogrammetry"
6/26/2015,"Discovery Management Group, LLC","Education, Real Estate, Photo/Film, Agriculture",DJI Phantom 2,Oregon,"Aerial mapping to enhance academic community awareness, augment real estate listing videos, filmmaking, golf course mapping, agricultural mapping, and photogrammetry"
6/23/2015,"DividedSky Aerial Productions, LLC","Photo/Film, Agriculture","DJI Phantom Vision 2+, 3D Robotics Iris+, 3D Robotics X8+M, xCel Drones XD-1100 CF, xCel Drones XD–550 CDR",Virginia,Aerial imaging of secured and controlled sites.
5/28/2015,"Dock House Digital, LLC",Photo/Film,DJI T600,South Carolina,Aerial photography and videography
6/12/2015,Donan Solutions LLC,Insurance,"DJI Phantom 3, DJI Phantom 2 Vision+, DJI Phantom 2",Kentucky,Forensic engineering and fire investigation applications.
5/5/2015,"Donan Solutions, LLC","Agriculture, Utilities/Energy/Infrastructure", Sensefly eBee,Kentucky,Mapping and survey applications for mining surveys and agriculture inspections.
4/23/2015,Douglas R. Dorrer,"Education, Emergency Services",3DRobotics IRIS+,West Virginia,"Educational community outreach, aerial real property and pre/post environmental remediation surveys, and not-for-profit search and rescue operations supporting local law enforcement."
1/6/2015,"Douglas Trudeau, Tierra Antigua Realty",Real Estate,DJI Phantom 2 Vision+,Arizona,"Real estate photography, videography."
4/8/2015,Down East Emergency Medicine Institute,Emergency Services,VK–FF–X4 Multirotor and VK-Ranger EX–SAR Fixed Wing,Maine,Aerial search and rescue operations.
5/22/2015,DPR Construction,Construction,Skycatch,California,Aerial imaging for safety and monitoring of secured and controlled environment construction sites.
4/8/2015,"Draganfly Innovations, Inc.",Manufacturer,"Draganflyer X4P, Draganflyer X4ES, Draganflyer X6, Draganflyer Guardian",--,"Market research, aerial surveys, mapping and inspections."
6/29/2015,Drew's Aerial Photography,"Photo/Film, Construction, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1",Washington,"Aerial video and photography of construction sites, real estate, and landscape over certain areas of the United States."
4/3/2015,"Drone Fleet & Aerospace Management, Inc.","Utilities/Energy/Infrastructure, Photo/Film","DJI S1000, DJI Phantom 2, Drone‐Fleet Carbon Fiber V5, DJI S800, DJI S1000, Sensefly eBee RTK",California,"Evaluation and analysis of infrastructure inspections and operations, closed-set motion picture and television filming. (Amended 6/23/15)"
6/16/2015,"Drone for Hire, LLC","Agriculture, Emergency Services",Y6-Scout,California,"Precision agriculture, emergency services operations, aerial inspections."
6/12/2015,Drone Surveys and Reports,"Photo/Film, Real","DJI Phantom 2 Vision+, DJI Inspire 1",Texas,Aerial photography and survey for real estate and various industries
5/22/2015,Droneair Solutions,"Photo/Film, Construction, Utilities/Energy/Infrastructure","DJI S1000+, Aeryon SkyRanger",--,"Closed-set filming for the motion picture, television, and web industries and aerial inspection and environmental monitoring of industrial sites, transmission and storage facilities, construction facilities, and aerial surveys."
5/28/2015,"Dronenautix, LLC",Photo/Film,3D Robotics Iris+,California,Aerial photography.
4/23/2015,"DRONESTHATWORK, LLC",Utilities/Energy/Infrastructure,LB700,Ohio,Aerial inspection of elevated structures for the electric utility industry (or similar clients/uses).
4/21/2015,"Droneview, LLC","Photo/Film, Real Estate",DJI Phantom 2 Vision+,Texas,"Aerial cinematography and photography on rural ranch sites, rural RV resorts, enhancing real estate listings and other such tasks for business in the greater San Antonio Texas area."
5/13/2015,DroneWorks Inc,Photo/Film,DroneWorks i1,Florida,Precision aerial surveys and photography.
5/15/2015,"DroneWorks, Inc","Photo/Film, Real Estate",DJI Inspire 1,Florida,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listing videos.
6/30/2015,"DronEye Imaging, LLC","Photo/Film, Agriculture","DJI Phantom 2 Vision Plus, DJI Inspire",Indiana,"Aerial photography, cinematography, videography, mapping, crop surveying, and inspections."
6/29/2015,DSJ LLC,Photo/Film,DJI Phantom 2 Vision+,Michigan,"Aerial photography and videography for community videos, photos and video of new and remodeled commercial buildings/projects, individual homeowner aerial photography/videography, photography and video of land developments for builders, and nature photos and videos in completely unpopulated areas and other community related events."
6/23/2015,"Duke Energy Business Services, LLC",Utilities/Energy/Infrastructure,AeroVironment Qube.,North Carolina,"Inspections of transmission and distribution lines, vegetation, coal ash ponds, boilers, stacks, absorbers, and solar arrays."
6/16/2015,DuPage County Stormwater Management,Government Contracting,DJI Phantom 2 Vision +,Illinois,Flood control facility inspections.
6/29/2015,Dyno Nobel Louisiana Ammonia LLC,Utilities/Energy/Infrastructure,DJI Phantom 2,Louisiana,"Aerial imaging for safety and monitoring of secured and controlled explosives manufacturing site,"
4/27/2015,"Eagle UAV Services, LLC",Agriculture,SenseFly eBee,Michigan,"Imaging flights for the purpose of precision agriculture and land survey. Images will be used to increase food production, identify environmental land issues and allow for land use planning."
6/9/2015,Eagle View Aerial Imaging LLC,"Real Estate, Construction, Conservation, Utilities/Energy/Infrastructure",DJI Inspire 1,California,"Aerial photography and videography services for real estate brokers, appraisers, property managers; builders of homes and buildings; solar panel installers; farmers; chambers of commerce and associated businesses for marketing campaigns; inspections of utilities; public agencies; and wildlife conservation organizations."
5/14/2015,Eagle-Eye Drone Service,Photo/Film,DJI Phantom 2 Vision+,Michigan,Aerial videography and cinematography.
4/23/2015,"Earth Forensics, Inc","Photo/Film, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,California,Aerial photo services to quickly assess potentially hazardous conditions (landslide and flooding) that may pose as a detriment to the public safety.
5/20/2015,"Eastern Arizona Ag Center, Inc",Agriculture,Precision Drone Pacesetter,Arizona,Aerial photography for the agricultural industry for monitoring growing crops.
5/11/2015,"EDRM, Inc. DBA Midplains Ag.",Agriculture,SenseFly eBee,Nebraska,Mapping and survey applications.
5/1/2015,Edward Juden,"Agriculture, Photo/Film, Other-Security",DJI Phantom 2 Vision+,Texas,"Aerial photography, agriculture field inspection, and property monitoring."
6/5/2015,Edward Thomas Zakarian,Real Estate,Phantom 2 Vision+,Florida,Photography and videography of commercial and residential properties.
5/22/2015,EGM100x35 Aerial Solutions,Photo/Film,DJI Phantom 2,--,Aerial photography and videography.
6/5/2015,Electric Eye Aerial Scanning,Photo/Film,Skywalker X8 Flying Wing,Montana,"Aerial acquisition of video, 2D, 3D, and multi-spectral imagery."
6/5/2015,Elevated Cinematics LLC,Photo/Film,"DJI Phantom 2, Tarot 680",Georgia,Collection of aerial photo and video assets.
4/24/2015,Elevated Images,Photo/Film,DJI Phantom 2 Vision+,Pennsylvania,Aerial photography and videography in the South-East Pennsylvania and Central New Jersey area.
4/3/2015,Elevated Perspective Media,Photo/Film,"Aervonics Sky Jib frame, DJI A2 flight system",Rhode Island,Aerial cinematography and filming on closed sets.
5/21/2015,Elevated Vue,Photo/Film,DJI Inspire 1,Alabama,Aerial photography and videography.
6/5/2015,"EMC, Inc.","Utilities/Energy/Infrastructure, Construction, Government Contracting",SenseFly eBee,Mississippi,"Precision aerial mapping and survey for multiple industries, including transportation (highways, railroad, ports, harbors and waterways), construction, telecommunication, oil and gas, power suppliers, and the state and federal governments."
6/16/2015,Empire Unmanned LLC,Agriculture,3D Robotics AeroM,Idaho,Photogrammetry and crop scouting.
6/23/2015,"Empire Unmanned, LLC","Photo/Film, Real Estate, Agriculture, Emergency Services","DJI Phantom 2 Vision+, DJI Phantom 2, DJI Inspire 1, DJI S1000+, DJI S900",Idaho,"Aerial surveying, aerial photography, agriculture, wildlife and forestry monitoring, wild land firefighting support, patrolling, aerial inspection, real estate surveying, crew member training, and mapping operations."
4/16/2015,"Empire Unmanned, LLC",Agriculture,SenseFlyeBee Ag,Idaho,Precision photogrammetry and crop scouting for precision agriculture
5/20/2015,"Engineering Resources, LLC","Agriculture, Utilities/Energy/Infrastructure","SenseFly eBee, Sensefly eBee RTK",Texas,"Precision aerial surveys for agricultural applications, mining, construction and survey/GIS operations."
5/7/2015,"enrGies, Inc",Education,"Lockheed Martin Indago, Lockheed Martin Desert Hawk III, DJI Phantom Vision +, Precision Lancaster MK3, Aeromao Talon, Aeromao Aeromapper 300, Aeromao Aeromapper EV-2, DJI Inspire 1",Alabama,"Conduct aerial video and data gathering. The following were added in ammendment: Lockheed Martin Desert Hawk III, DJI Phantom Vision +, Precision Lancaster MK3, Aeromao Talon, Aeromao Aeromapper 300, Aeromao Aeromapper EV-2, DJI Inspire. ""Energies has a proven track record of providing quick-turn solutions, support, and training for manned and unmanned aviation; command, control, communication & intelligence, missile sensor programs, helicopter prototype integration; Air and Missile Defense systems; and tactical operation centers"""
4/29/2015,"enrGies, Inc.",Photo/Film,"Lockheed Martin Indago, Lockheed Martin Desert Hawk III, DJI Phantom Vision +, Precision Lancaster MK3, Aeromao Talon, Aeromao Aeromapper 300, Aeromao Aeromapper EV-2, DJI Inspire",Alabama,"Aerial video and data gathering in support of federal, state and local government agencies as well as the following private commercial ventures: basic photography, precision agriculture, pipeline/power line transmission/distribution towers, oil and gas facilities (on & off shore), manmade/natural disaster damage assessment, support to first responders, security, construction, research, wildlife and wildfire monitoring, real estate, local infrastructure, railroad infrastructure, surveying, scientific studies, insurance functions, training, mining and UAS research and development. (Amended 5/7/15)"
3/24/2015,"EnviroMINE, Inc.",Utilities/Energy/Infrastructure,SenseFly eBee,California,"Operations over areas of California and western Arizona suitable for, or in use by, surface mining."
6/16/2015,Enviroskycam,Conservation,DJI Phantom 2 Vision +,California,Environmental monitoring and wildlife conservation.
6/16/2015,Envision Security dba Envision Aerials,"Construction, Real Estate",DJI Inspire 1,Louisiana,"Aerial video and photography of client sites, construction sites, real estate, and landscape."
6/25/2015,"Envision Virtual Tours, Inc.",Real Estate,"DJI Phanton 2 Vision +, DJI Phantom 3 Professional, DJI Inspire 1",Georgia,Aerial Videography and Photography for real estate/
6/26/2015,Eric M Roberts,"Construction, Real Estate, Photo/Video","DJI Phantom 2, DJI Phantom 3",Nevada,"Aerial video and photography of construction sites, real estate, and landscape."
4/24/2015,Eric Silberg Photography,Photo/Film,DJI Inspire 1,Maryland,Photography and videography.
4/8/2015,Erie Insurance Group,Insurance,DJI Phantom 2,Pennsylvania,"Research and development; surveys and inspections; risk assessment, risk management, loss prevention and underwriting."
4/3/2015,"ETAK Systems, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2, DJI Phantom 2 Vision +, DJI Phantom 3 ",North Carolina,Cellular tower and compound surveys for wireless providers. (Amended 6/3/15)
6/16/2015,Eugene Lew,Real Estate,"DJI Phantom 2 Vision+, DJI Inspire 1",Oregon,"Aerial photography and videography of real estate, vacant land, and subdivisions over certain areas of the United States."
6/30/2015,Evil Penguin Films,"Photo/Film, Agriculture",DJI Phantom 2,Louisiana,"Aerial photography, cinematography, videography, mapping, crop surveying, and inspections."
5/1/2015,Explosives Risk Managers LLC,Construction,"DJI Phantom II Vision+, Sensefly eBee, DJI Phantom 3 Professional, DJI Phantom 3 Advanced, DJI Inspire 1",Maryland,"Risk management services in blasting security, safety, and productivity. UAS to do photogrammetry, highwall inspections, shot filming, blast area security, post blast inspection and public relations media."
5/28/2015,"Extreme Aerial Works, LLC",Photo/Film,"DJI Phantom 2, Tarot 810, and DJI Inspire 1",North Carolina,"Aerial photography, videography"
4/8/2015,Extreme Media Productions,"Utilities/Energy/Infrastructure, Real Estate, Photo/Film",DJI Phantom 2 Vision+,South Carolina,"Real estate, marketing, surveying, industrial and special event operations."
3/6/2015,FalconSkyCam,"Photo/Film, Real Estate, Agriculture",DJI Phantom 2,California,"Aerial photography for real estate, surveying, marine photo and video, agriculture, and special events."
4/16/2015,Falkirk Mining Company,Utilities/Energy/Infrastructure,"SenseFly eBee, Trimble UX5",North Dakota,"Land surveying services. Applications may include agricultural applications, mining, construction and survey/GIS operations"
4/3/2015,"First Flight Photography, LLC",Photo/Film,"DJI Phantom 2 Vision Plus, DJI Spreading Wings S1000",New York,Aerial photography.
6/23/2015,FlightWink LLC,"Photo/Film, Utilities/Energy/Infrastructure, Conservation","Volantex Raptor, Tarot T−18",Kansas,"Operations for the agriculture, oil and gas, aerial photography and wildlife preservation industries."
5/14/2015,Flite Video LLC,Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3 Professional",California,"Operations for real estate inspections, sales and advertising."
5/11/2015,"Florida Aerial Services, Inc.",Photo/Film,"Steadidrone QU4D, DJI Inspire 1, DJI Phantom 3",Florida,"Aerial photography for the media and advertising industries for pre-planned, controlled area, photographic and surveying services. (Amended 6/23/15.)"
4/17/2015,"Florida Aerials, LLC",Real Estate,"DJI Phantom 2, DJI Phantom 2 Vision+",Florida,"Aaerial videography/cinematography to enhance academic community awareness for those unfamiliar with the geographical layout of the SE Florida area, and to augment real estate listing videos."
5/29/2015,"Fly Low Aero, LLC",Photo/Film,"DJI Phantom 2 Vision Plus, DJI Inspire 1, DJI S-900",Virginia,Aerial photography and survey for various industries.
10/10/2014,Flying Cam,"Manufacturer, Photo/Film",Flying-Cam 3.0 SARAH,California,Closed-set filming.
4/8/2015,Flying Cross Aerial Productions,Photo/Film,"DJI Phantom 2, DJI S1000",Texas,Aerial photography and filming.
6/30/2015,Flying Solutions,"Education, Real Estate, Photo/Film","DJI Phantom, DJI Inspire 1, 3DR Solo",Texas,"Flight training, education, real estate photography, videography, film and movie production, demonstration flights and inspections."
6/5/2015,Fovea Aero Systems LLC,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI S1000+",New Jersey,"Surveying, monitoring, inspections, videography, photography and filmmaking."
5/22/2015,Fovea Aero Systems LLC,"Utilities/Energy/Infrastructure, Photo/Film","DJI Phantom 2 Vision+, DJI Inspire 1, DJI S1000+",New Jersey,"Surveying, monitoring, inspections, videography, photography, closed-set motion picture and television filming. (Amended 6/5/15)"
5/19/2015,"Freeport-McMoRan, Inc.",Utilities/Energy/Infrastructure,Prioria Maveric,New Jersey,"Surveying, aerial photography, videography and data acquisition for mine-related services."
5/22/2015,"Fresh Cut Above, Inc.",Photo/Film,"DJI Phantom 2, DJI Inspire 1",California,Closed-set filming and aerial photography.
6/1/2015,Galaxy UAV Systems,Agriculture,"Universeye Penguin, DJI Inspire 1",Texas,Agriculture and aerial surveying missions utilizing geographic referenced mapping system
5/15/2015,Gary Huett,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Indiana,"Aerial videography/cinematography to enhance academic community awareness, augment real estate listing videos, document accident scene locations, mapping, crop surveying, inspections and other flight operations."
6/30/2015,"GDI Geospatial Data, Inc.","Education, Real Estate",Phantom 2 Vision+,Texas,"Enhance academic community awareness and augment real estate activities, right of way surveys, aerial videography for geographical awareness, and real estate marketing."
5/22/2015,"geoResource Technologies, Inc","Emergency Services, Real Estate, Agriculture, Construction",DJI S1000,Massachusetts,"Aerial mapping, survey, and inspection of buildings."
4/16/2015,"Geosky3, LLC","Real Estate, Photo/Film, Other-Security",DJI Inspire 1 Model T600,Florida,"Security services, real estate photography and Geographic Information Systems for business and personal use."
5/15/2015,"GeoWing Mapping, Inc.","Photo/Film, Utilities/Energy/Infrastructure",Altavian Nova F6500,California,"Aerial acquisitions and research within the NAS, commercially, in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry, and the oil and gas industries."
5/28/2015,Gerald J. Cauchi,"Construction, Real Estate, Photo/Film",DJI Phantom 2 Vision+,California,"Aerial videograhpy and photography of construction/demolition sites, real estate, special events, and landscaping"
6/26/2015,Geum Services Inc,Photo/Film,"DJI Phantom 2, DJI Phantom 3",Michigan,Aerial photography and aerial video services.
4/24/2015,goFarm LLC,"Agriculture, Utilities/Energy/Infrastructure",GF–1,Maryland,"Precision aerial surveys that consist of still photographs taken by onboard cameras. Applications for these UAS devices and associated data processing functions include agriculture, mining, and professional surveying."
4/21/2015,"GPS Development, LLC dba SkyViewHD",Real Estate,DJI Phantom 2,Florida,Aerial videography and photography for real estate services.
6/26/2015,"GraVoc Associates, Inc","Photo/Film, Real Estate","DJI Phantom 2, DJI Inspire 1",Massachusetts,Aerial photography and videography.
6/23/2015,Green Bee Limited,"Photo/Film, Agriculture","DJI Phantom 2, Turbo Ace Matrix-E",Colorado,"Agricultural and golf course surveys. Digital surveys using an array of cameras to show crop thinning, or NDVI imagery. Allowing the property owner to see which crops or grass areas are improperly photosynthesizing. Aerial surveys of golf courses to show ball flight, and beauty of the course."
5/13/2015,Gregory Dirk Sichel,Real Estate,DJI Inspire 1,Florida,Aerial photography for the education of real estate professionals and real estate marketing purposes.
4/17/2015,Gregory Zonsius,Photo/Film,DJI Phantom 2 Vision +,Illinois,"Aerial photography, videography, and cinematography."
5/22/2015,"GridHawk Aviation, LLC",Utilities/Energy/Infrastructure,Aeryon SkyRanger,Illinois,"Aerial inspections of high-tension power distribution lines, systems, and structures."
5/13/2015,GSC Surveying Inc,"Utilities/Energy/Infrastructure, Construction",PrecisionHawk Hawkeye Mk-III,North Carolina,"Precision aerial surveys, including in the areas of construction, agriculture, mining, scientific studies, wildlife monitoring, forestry, and oil, power and gas industries."
4/8/2015,Gulf Coast Unmanned Aerial Services LLC,"Agriculture, Education","DJI Phantom, DJI Inspire",Louisiana,Aerial photography and videography for agricultural inspections and flight training.
6/5/2015,Guy Stacy Walker,"Photo/Film, Real Estate",DJI Inspire 1,Indiana,"Aerial photography and videography of real estate, landscapes, and commercial clients."
6/30/2015,"Haag 3D Solutions, LLC","Agriculture, Utilities/Energy/Infrastructure, Construction","DJI Phantom 3, DJI Phantom 2 Vision+, DJI Phantom 2",Texas,"Mapping, inspection and photography of landfills, mining facilities, utilities, oil and gas facilities, agriculture, construction sites, forensic engineering assessments, damage assessments and fire investigation applications."
4/8/2015,"Habana Avenue, LLC dba Fly Habana",Photo/Film,Cinestar 8 HL,Florida,"Aerial photography for motion picture, television, and the content creation industry for scripted closed set filming."
4/3/2015,"Hawaii AirVision, LLC",Photo/Film,DJI S1000,Hawaii,"Aerial videography and photography for the motion picture, television, and commercial industry for closed set filming."
6/23/2015,"Hawaii Commercial Drone Operations, LLP",Utilities/Energy/Infrastructure,Phantom 2 Vision,Hawaii,"Aerial photography, primarily for inspection of towers and structures."
4/8/2015,"Hawk Aerial, LLC","Utilities/Energy/Infrastructure, Agriculture","Multirotor G4 Eagle, DJI Phantom 2, Altavian Nova F6500, Altavian R8400, DJI Phantom 3",New Mexico,"Photogrammetry, inspections and analyses. (Amended 6/3/15)"
5/14/2015,"HAZON Solutions, LLC",Agriculture,"DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Universeye Penguin V2, Birdseyeview FireFly 6, Range Video RVJet, DJI Phantom 1, DJI Inspire 1",Virginia,Agriculture inspection and data collection.
5/14/2015,"HAZON Solutions, LLC",Photo/Film,"DJI Phantom 2, Draganflyer X4-ES sUAV, Universeye Penguin V2, Birdseyeview Aerobotics FireFly 6, Range Video RVJet, DJI S1000+",Virginia,Aerial imagery and videography.
5/11/2015,"HAZON Solutions, LLC","Agriculture, Utilities/Energy/Infrastructure","DJI Phantom 2, DJI S1000+, Draganflyer X4-ES, Penguin V2, Fire Fly 6, Range Video RV Jet",Virginia,Precision agriculture inspections/data collections and aerial mapping.
